height,weight,earn,earnk,ethnicity,education,mother_education,father_education,walk,exercise,smokenow,tense,angry,age,sex
64,123,25000,25,White,15,15,NA,7,7,no,0,0,33,female
65,220,24000,24,White,12,12,12,4,1,no,2,2,91,female
60,125,15000,15,White,12,NA,NA,2,1,no,0,0,60,female
76,215,27000,27,White,12,12,12,7,7,no,0,0,39,male
72,NA,12000,12,White,12,12,12,7,7,no,5,5,35,female
72,185,400000,400,White,12,12,12,5,4,no,6,6,33,male
62,145,22000,22,White,18,18,18,4,7,no,2,2,47,female
62,140,30000,30,White,13,13,13,1,1,no,1,1,36,female
70,160,45000,45,White,16,16,16,7,6,no,0,0,35,male
71,205,35000,35,White,12,12,12,8,3,no,0,0,61,male
74,195,20000,20,White,12,12,12,8,2,no,7,7,42,male
65,138,32000,32,White,16,16,16,5,1,no,0,0,32,female
63,160,6000,6,Other,12,12,12,4,1,yes,2,2,31,female
67,150,12000,12,White,12,12,12,3,1,yes,0,0,39,female
65,128,0,0,White,16,16,16,2,1,yes,0,0,44,female
63,145,10000,10,White,12,12,12,3,1,no,1,1,31,female
65,126,1000,1,White,12,12,NA,6,6,yes,0,0,18,female
64,136,12000,12,White,15,NA,NA,7,6,yes,0,0,71,female
65,140,16000,16,White,12,12,12,7,1,no,1,1,36,female
63,125,15000,15,White,13,13,13,7,1,no,2,2,27,female
68,240,0,0,White,16,16,16,8,1,no,5,5,41,female
63,140,25000,25,White,16,16,16,4,2,no,0,0,33,female
70,135,25000,25,White,12,12,NA,5,7,no,2,2,27,female
68,180,32000,32,White,12,12,NA,5,6,no,5,5,30,male
67,165,35000,35,White,14,14,14,1,5,no,0,0,43,male
68,130,25000,25,White,12,12,12,8,2,yes,7,7,24,male
66,135,25000,25,White,12,12,12,3,1,no,2,2,23,female
65,125,6000,6,White,12,12,12,8,1,yes,1,1,28,female
69,165,80000,80,White,14,14,14,4,3,yes,0,0,44,male
68,145,20000,20,White,14,14,14,7,1,no,0,0,25,female
66,187,1000,1,White,17,17,17,2,1,no,0,0,38,female
71,165,28000,28,Hispanic,13,13,13,1,5,yes,0,0,38,male
64,125,26000,26,Hispanic,16,16,16,7,7,no,0,0,23,male
74,210,27000,27,White,12,12,12,7,6,no,2,2,24,male
62,112,18000,18,White,13,13,13,5,3,no,2,2,41,female
65,200,2000,2,White,12,12,12,8,1,no,0,0,59,female
69,195,20000,20,White,12,12,12,4,5,no,0,0,66,male
72,185,15000,15,Black,12,12,12,8,2,no,2,2,19,male
66,221,6000,6,White,16,16,16,4,1,no,1,1,48,female
70,180,15000,15,White,11,11,11,8,4,no,0,0,32,male
61,170,15000,15,White,12,NA,NA,1,3,no,0,0,74,female
60,110,0,0,White,10,10,10,1,1,no,0,0,68,female
70,190,5000,5,White,12,12,12,2,4,no,2,2,19,male
73,130,5000,5,White,11,11,11,8,7,yes,0,0,21,female
66,160,15000,15,White,12,12,12,7,1,no,1,1,74,female
57,130,45000,45,Hispanic,12,12,12,2,1,no,0,0,36,female
67,210,25000,25,White,11,11,11,8,7,no,0,0,63,male
73,180,12000,12,White,12,NA,NA,8,3,no,0,0,29,male
65,115,0,0,White,18,18,18,4,5,no,3,3,26,female
62,120,15000,15,White,12,12,12,6,1,no,0,0,45,female
76,165,12000,12,White,12,12,NA,8,1,yes,0,0,57,male
70,175,30000,30,White,14,14,14,8,5,no,0,0,76,male
64,160,0,0,White,12,12,12,6,6,no,2,2,30,female
63,130,4000,4,Black,15,15,15,4,4,no,4,4,22,female
67,185,5000,5,Black,11,11,11,8,1,no,2,2,18,female
63,115,26000,26,Black,13,13,13,7,7,no,0,0,37,female
69,190,5000,5,White,9,9,NA,8,4,no,0,0,53,female
67,200,15000,15,White,9,9,9,1,1,yes,7,7,23,female
66,180,15000,15,Black,12,12,12,4,4,yes,7,7,30,female
61,140,5000,5,Black,12,12,12,7,7,no,1,1,25,female
70,164,23000,23,Black,12,12,12,8,7,yes,4,4,35,male
71,175,21000,21,White,12,12,12,8,1,yes,7,7,33,male
65,135,25000,25,White,12,12,12,5,1,no,3,3,62,female
70,157,18000,18,White,16,NA,16,4,1,no,1,1,75,male
63,150,4000,4,White,13,13,13,4,6,no,0,0,44,female
64,116,23900,23.9,White,12,12,12,8,7,no,2,2,22,female
68,145,35000,35,White,12,NA,NA,8,5,no,0,0,68,male
64,123,35000,35,White,18,18,18,3,6,no,1,1,40,female
67,140,26000,26,White,14,14,14,1,4,yes,3,3,30,male
66,172,25000,25,White,16,16,16,2,2,no,1,1,36,male
68,118,23500,23.5,White,13,13,13,2,4,yes,7,7,27,female
65,135,12000,12,White,12,12,12,1,1,no,1,1,22,female
67,140,15000,15,White,12,12,12,5,6,no,2,2,20,female
61,165,25000,25,White,8,NA,NA,7,1,no,0,0,67,female
73,210,3000,3,White,17,17,17,5,6,no,0,0,23,male
63,200,15000,15,White,12,12,12,2,1,no,0,0,68,female
66,145,20000,20,White,12,12,12,1,7,no,0,0,37,female
64,200,6000,6,White,12,12,12,8,1,no,2,2,67,female
71,160,14000,14,White,12,12,12,1,1,no,0,0,69,male
63,123,15000,15,White,16,16,16,3,1,no,2,2,31,female
71,180,175000,175,White,16,16,16,8,5,no,2,2,48,male
63,118,0,0,White,12,12,12,3,1,yes,1,1,51,female
64,128,62000,62,White,16,16,16,5,1,no,1,1,70,female
73,170,1000,1,White,18,18,18,7,7,no,3,3,25,male
65,140,10000,10,White,14,14,14,6,2,no,0,0,63,female
66,120,45000,45,White,13,NA,13,4,1,no,0,0,82,male
66,120,15000,15,White,12,NA,NA,1,1,yes,0,0,81,female
60,135,45000,45,White,15,15,15,8,1,no,0,0,79,female
68,165,50000,50,White,18,18,18,4,1,yes,2,2,52,female
59,140,20000,20,White,13,13,NA,8,1,no,4,4,41,female
70,215,5000,5,White,12,12,12,2,6,yes,2,2,42,male
70,165,35000,35,White,16,16,16,1,7,no,2,2,30,male
72,152,40000,40,White,16,16,16,4,7,no,0,0,28,male
64,135,35000,35,White,12,12,12,8,7,no,0,0,72,female
72,200,25000,25,White,12,12,12,8,2,yes,1,1,33,male
66,170,50000,50,White,16,16,16,4,4,no,0,0,54,female
70,205,100000,100,White,18,18,18,5,1,yes,0,0,57,male
69,145,35000,35,White,13,NA,NA,1,7,yes,0,0,28,male
66,115,0,0,White,12,12,12,5,5,no,2,2,51,female
68,175,24000,24,White,12,12,12,3,1,yes,0,0,35,female
64,120,0,0,White,12,12,12,4,1,yes,4,4,30,female
67,140,25000,25,White,14,14,14,8,1,no,2,2,35,female
63,124,0,0,White,12,12,NA,2,1,no,0,0,60,female
74,268,35000,35,White,17,17,17,6,1,yes,0,0,43,male
73,230,38000,38,White,16,NA,NA,7,5,no,0,0,74,male
70,200,35000,35,White,13,13,13,8,4,yes,0,0,29,male
60,130,25000,25,White,8,8,8,8,1,no,0,0,76,female
67,160,30000,30,White,12,12,12,8,6,no,0,0,52,male
64,136,5000,5,Hispanic,12,12,NA,5,1,no,2,2,39,female
67,160,148000,148,White,18,18,18,1,4,no,0,0,38,male
70,165,30000,30,White,12,12,12,2,1,no,0,0,32,male
64,120,6500,6.5,White,15,15,15,8,6,no,1,1,31,female
62,95,3000,3,White,16,16,16,8,2,no,7,7,37,female
72,175,25000,25,White,15,15,NA,8,1,yes,0,0,75,male
66,200,0,0,White,8,NA,8,1,1,yes,2,2,53,female
69,230,23000,23,White,18,18,18,3,6,no,0,0,69,male
82,175,45000,45,White,18,NA,18,4,1,no,1,1,65,male
63,150,35000,35,White,16,16,16,8,1,no,0,0,36,female
68,155,40000,40,White,17,17,17,8,6,no,2,2,41,male
72,180,30000,30,White,14,14,14,8,2,no,1,1,39,male
63,210,0,0,White,14,14,14,8,2,yes,7,7,29,female
63,210,14000,14,White,12,12,NA,6,5,yes,0,0,37,female
69,NA,15000,15,White,12,12,12,8,1,no,7,7,34,female
64,120,26000,26,White,18,18,18,4,2,yes,0,0,36,female
71,195,8000,8,White,12,12,12,8,7,yes,7,7,25,female
64,123,24000,24,Black,16,16,16,8,6,yes,4,4,27,female
72,135,0,0,White,8,8,8,5,5,yes,0,0,20,male
62,125,0,0,White,12,12,12,8,2,yes,7,7,25,female
66,180,0,0,White,10,10,10,8,5,no,3,3,38,female
72,200,15000,15,White,12,NA,NA,1,1,no,0,0,40,male
66,140,5124,5.124,White,8,8,8,1,1,yes,3,3,67,male
61,110,10000,10,White,15,15,15,2,4,no,3,3,25,female
64,165,5000,5,White,7,NA,NA,5,1,yes,1,1,38,female
62,111,5000,5,Black,13,13,13,8,5,no,0,0,20,female
69,125,0,0,White,13,13,NA,8,7,no,1,1,19,female
68,145,12000,12,White,16,16,16,7,1,no,7,7,32,female
66,155,0,0,White,12,12,12,5,7,yes,7,7,23,female
68,180,50000,50,White,17,17,17,7,6,no,0,0,34,male
71,158,136500,136.5,White,16,16,16,5,5,yes,0,0,41,male
64,125,23000,23,White,13,13,13,4,2,no,1,1,26,female
61,118,0,0,White,16,16,16,7,1,no,1,1,40,female
68,155,25000,25,White,12,12,12,4,1,no,0,0,69,female
63,174,5000,5,White,9,NA,NA,5,1,no,0,0,69,female
65,138,5000,5,White,12,NA,NA,8,1,no,1,1,91,female
64,110,5000,5,White,12,12,12,8,1,no,5,5,18,female
65,130,15000,15,White,12,12,12,8,7,yes,0,0,38,female
64,125,5000,5,White,14,14,14,7,2,no,0,0,19,female
66,130,40000,40,Black,14,14,14,8,7,yes,0,0,34,male
62,124,6000,6,Black,13,13,13,7,1,no,7,7,26,female
71,170,100000,100,White,18,18,NA,8,5,no,0,0,77,male
65,160,5000,5,Black,16,16,16,8,1,no,7,7,30,female
64,190,45000,45,White,8,NA,NA,8,1,yes,7,7,52,female
60,120,25000,25,Black,12,12,12,8,5,no,0,0,26,female
66,156,110000,110,White,18,18,18,5,5,no,0,0,37,male
61,102,25000,25,White,13,13,13,8,4,yes,2,2,37,female
72,145,41000,41,Hispanic,13,NA,NA,8,7,no,0,0,32,male
70,145,25000,25,White,12,12,NA,5,6,no,0,0,55,female
63,130,23000,23,White,13,13,13,4,4,no,0,0,78,female
68,132,15000,15,White,14,NA,14,8,5,no,0,0,78,female
63,120,0,0,White,12,12,12,7,5,no,7,7,32,female
70,165,21000,21,White,12,12,12,8,7,yes,1,1,23,male
62,150,4000,4,White,12,12,12,5,1,yes,7,7,29,female
71,280,25000,25,White,12,12,12,8,4,yes,0,0,36,male
70,170,30000,30,White,18,18,18,4,7,yes,1,1,46,male
64,159,14000,14,White,11,11,NA,8,1,no,0,0,51,female
63,115,6000,6,White,12,12,12,3,2,yes,7,7,35,female
65,144,14000,14,White,12,12,12,2,1,yes,0,0,46,female
71,175,43000,43,White,12,12,12,1,6,no,6,6,27,male
62,128,25000,25,White,15,15,15,8,5,yes,7,7,33,female
73,195,40000,40,White,12,12,12,8,1,no,0,0,66,male
64,135,25000,25,White,16,16,16,8,1,no,0,0,73,female
68,220,65000,65,White,17,17,17,5,5,no,3,3,40,male
76,210,16000,16,White,15,15,15,3,4,no,0,0,32,male
73,196,136500,136.5,White,16,16,16,1,1,yes,0,0,65,male
70,160,87000,87,White,18,NA,NA,1,6,no,0,0,54,male
66,120,8000,8,White,12,12,12,8,1,no,0,0,71,female
64,NA,20000,20,White,15,15,15,4,4,no,4,4,39,female
60,NA,14000,14,White,14,14,14,1,1,no,0,0,72,female
68,140,45000,45,White,12,12,12,8,1,no,0,0,74,male
61,180,8000,8,White,11,NA,NA,1,1,no,0,0,72,female
65,185,15000,15,White,10,NA,10,3,1,yes,0,0,71,female
66,130,12000,12,White,12,12,NA,5,4,yes,0,0,28,male
63,132,8000,8,White,14,14,14,5,5,no,0,0,31,female
63,105,16000,16,White,15,15,15,1,1,no,2,2,32,female
67,NA,25000,25,White,12,NA,NA,1,2,no,0,0,43,female
74,170,6000,6,White,15,15,15,7,1,yes,7,7,73,male
66,160,136500,136.5,White,12,NA,12,4,7,no,1,1,45,female
70,180,19000,19,White,12,12,12,8,6,no,0,0,32,male
68,155,21000,21,White,13,13,13,6,3,yes,5,5,39,female
70,131,43000,43,White,18,18,18,7,3,no,1,1,46,female
69,190,35000,35,White,15,15,15,7,7,no,0,0,21,male
70,175,8000,8,White,10,NA,NA,8,2,no,0,0,75,male
63,125,21000,21,White,14,14,14,7,1,yes,1,1,41,female
65,135,5800,5.8,White,12,12,12,8,5,no,5,5,30,female
69,185,17000,17,White,12,NA,NA,5,1,no,0,0,46,male
65,120,45000,45,White,12,NA,NA,2,2,yes,2,2,42,female
68,140,24000,24,White,14,14,14,4,3,yes,2,2,49,male
62,140,5000,5,White,11,11,NA,1,1,no,3,3,71,female
70,185,62000,62,White,11,11,11,1,1,no,0,0,48,male
66,150,11000,11,White,12,12,12,8,1,yes,3,3,23,female
65,225,10000,10,White,13,NA,13,5,1,no,0,0,27,male
70,185,40000,40,White,14,14,14,4,4,no,0,0,36,male
66,163,0,0,Black,12,NA,12,8,5,no,0,0,37,female
70,170,40000,40,White,12,NA,NA,8,4,yes,0,0,47,male
66,165,24000,24,Black,14,NA,NA,8,2,no,3,3,29,female
68,160,50000,50,Black,18,18,18,8,7,no,0,0,34,male
68,NA,25000,25,White,12,12,12,6,2,yes,3,3,25,female
68,160,24000,24,White,16,16,16,1,3,no,0,0,26,male
68,120,20000,20,White,16,16,16,8,3,no,0,0,33,male
63,120,15000,15,White,16,16,16,8,5,no,0,0,23,female
70,195,60000,60,White,18,18,18,3,1,no,0,0,50,male
65,155,11000,11,White,13,13,13,5,1,no,0,0,47,female
64,115,5000,5,White,15,15,15,8,2,no,7,7,40,female
63,113,136500,136.5,White,17,17,17,8,6,no,0,0,84,female
69,180,87000,87,White,18,18,18,8,5,no,5,5,39,male
65,135,27000,27,White,16,16,16,7,5,no,0,0,30,female
77,241,89000,89,White,16,16,16,8,1,no,2,2,41,male
70,175,40000,40,White,14,14,14,8,4,no,2,2,28,male
64,120,15000,15,White,16,16,16,8,7,no,0,0,26,female
64,130,1000,1,White,14,14,14,8,6,no,0,0,20,female
62,180,0,0,White,12,12,12,4,1,yes,7,7,28,female
64,NA,22000,22,White,12,12,12,5,1,no,0,0,60,female
64,184,12000,12,White,8,8,8,1,1,yes,0,0,48,female
63,125,22000,22,White,16,16,16,4,2,no,2,2,28,female
58,180,40000,40,Black,12,12,NA,8,1,no,0,0,56,female
73,182,25000,25,Black,10,NA,NA,2,6,no,2,2,55,male
66,182,0,0,White,12,12,12,8,6,no,0,0,58,female
64,120,62000,62,White,16,16,16,7,7,no,3,3,40,female
62,150,40000,40,White,16,16,16,5,1,no,0,0,44,female
61,123,0,0,White,13,13,13,6,7,no,0,0,42,female
64,113,35000,35,Hispanic,14,14,14,4,2,no,0,0,53,female
64,119,7000,7,White,12,12,12,8,1,no,0,0,28,female
70,190,25000,25,White,14,14,NA,8,1,no,0,0,40,male
62,118,14000,14,White,12,12,12,6,2,no,0,0,37,female
62,120,5000,5,White,12,12,12,8,1,no,1,1,20,female
64,150,15000,15,White,12,12,12,2,1,no,0,0,56,female
66,240,0,0,Black,14,14,14,1,1,no,0,0,31,female
66,150,6000,6,White,13,13,13,7,6,no,0,0,34,female
69,223,11000,11,Black,12,NA,NA,1,1,no,7,7,41,female
64,132,10000,10,White,13,13,13,4,1,no,0,0,31,female
62,168,0,0,White,12,12,NA,8,1,no,1,1,59,female
62,118,5000,5,White,12,12,12,4,4,yes,4,4,32,female
71,193,20000,20,White,14,14,14,8,5,no,2,2,41,male
59,108,35000,35,White,12,NA,NA,7,1,no,0,0,56,female
62,155,7000,7,White,12,12,12,4,1,no,0,0,73,female
68,185,38000,38,White,9,9,9,8,2,no,1,1,46,male
68,175,29000,29,White,9,NA,NA,4,1,yes,1,1,58,male
62,122,20000,20,White,10,10,NA,4,1,no,0,0,44,female
63,160,8000,8,White,12,12,12,4,1,yes,0,0,57,female
69,175,36000,36,White,16,16,16,8,1,no,0,0,51,male
67,228,1500,1.5,White,12,12,12,7,7,no,1,1,44,female
64,135,42000,42,White,18,18,18,6,5,no,1,1,29,female
68,135,35000,35,White,17,17,17,8,1,yes,1,1,44,female
70,165,25000,25,White,12,12,12,1,7,yes,0,0,22,male
76,150,5000,5,White,9,9,9,3,6,no,0,0,18,male
69,140,13000,13,White,10,10,10,1,1,yes,0,0,20,male
66,133,20000,20,White,11,11,11,4,1,no,0,0,64,female
66,98,10000,10,White,12,NA,NA,8,1,no,1,1,71,female
72,194,50000,50,Other,15,15,15,8,5,yes,3,3,49,male
69,145,30000,30,Black,11,11,11,8,1,no,0,0,51,male
69,160,7000,7,White,12,NA,NA,7,6,no,0,0,23,male
62,118,15000,15,Black,12,12,12,8,1,no,0,0,82,female
60,200,31000,31,Black,12,NA,NA,8,1,yes,7,7,48,female
66,149,15000,15,Black,12,12,12,2,2,no,3,3,42,female
60,135,0,0,White,18,18,NA,2,1,no,4,4,41,female
67,170,50000,50,White,16,16,16,7,2,no,1,1,49,male
67,120,5000,5,Hispanic,11,11,11,1,1,no,3,3,18,female
66,140,5000,5,White,15,15,15,8,7,no,0,0,20,male
70,150,600,0.6,Black,12,12,12,7,6,no,3,3,18,female
64,150,14000,14,Black,8,8,NA,8,1,no,0,0,51,female
60,105,40000,40,Other,18,18,18,8,1,no,0,0,35,female
68,170,24000,24,White,18,18,18,5,7,no,5,5,36,male
66,150,25000,25,Black,12,NA,NA,8,1,no,0,0,59,female
73,180,22000,22,Black,12,12,NA,1,5,yes,7,7,24,male
72,215,20000,20,White,8,8,8,4,1,yes,1,1,36,male
64,145,20112,20.112,White,12,NA,NA,8,5,yes,3,3,38,female
67,135,12000,12,White,13,13,13,7,1,yes,1,1,67,male
71,180,15000,15,Black,8,NA,NA,8,6,yes,0,0,37,male
70,221,20000,20,White,18,18,18,7,7,yes,0,0,69,male
66,129,5000,5,White,8,8,8,4,1,no,0,0,44,female
67,140,41000,41,White,13,13,13,7,1,no,1,1,40,female
71,155,13000,13,Black,9,9,9,8,1,no,0,0,50,male
63,136,0,0,White,12,12,12,5,5,no,3,3,25,female
73,170,60000,60,White,16,16,16,1,4,yes,0,0,31,male
70,155,24000,24,White,16,16,16,8,7,no,4,4,25,male
70,165,38000,38,White,16,16,16,1,7,no,6,6,36,male
71,128,3000,3,White,14,14,14,3,2,no,4,4,27,female
66,110,13000,13,White,12,12,12,4,2,yes,0,0,30,female
75,160,5000,5,White,12,12,12,1,2,yes,2,2,21,male
60,92,20000,20,White,14,14,14,4,5,no,5,5,37,female
72,230,22000,22,White,12,12,12,4,7,no,5,5,28,male
70,256,35000,35,White,14,14,14,1,1,no,2,2,40,female
63,118,0,0,Black,16,16,16,3,7,no,1,1,23,female
75,230,28000,28,Black,9,NA,NA,8,4,no,0,0,55,male
60,110,22000,22,White,12,12,12,6,3,yes,7,7,41,female
73,186,30000,30,Black,12,NA,12,8,5,no,1,1,44,male
65,165,5000,5,Black,6,NA,NA,8,1,no,0,0,70,male
65,210,30000,30,Black,12,12,NA,2,1,no,7,7,32,female
63,135,35000,35,White,17,17,17,8,1,no,0,0,63,female
67,140,30000,30,White,16,16,16,8,4,no,0,0,31,male
61,130,32000,32,White,12,12,12,8,1,no,0,0,69,female
69,135,26000,26,White,17,17,17,6,5,no,4,4,43,female
64,144,22000,22,White,14,14,14,4,6,yes,1,1,34,female
62,190,15000,15,White,14,NA,NA,5,1,no,0,0,72,female
70,150,25000,25,White,12,12,12,6,5,no,0,0,33,male
68,147,11000,11,White,10,10,10,8,3,yes,7,7,24,female
67,140,15000,15,White,12,NA,NA,8,1,no,0,0,33,male
62,130,13000,13,White,12,NA,NA,5,1,yes,1,1,53,female
64,180,10000,10,White,15,15,15,7,7,yes,1,1,42,female
68,110,0,0,White,12,12,12,1,1,no,7,7,24,female
72,200,35000,35,White,16,16,16,8,6,no,0,0,32,male
68,120,12000,12,White,12,12,12,4,4,no,0,0,45,female
64,130,25000,25,White,17,17,17,6,1,no,7,7,38,female
66,130,0,0,White,13,13,13,5,7,yes,0,0,57,male
64,118,7000,7,White,11,NA,NA,8,1,yes,0,0,64,female
73,230,57000,57,White,14,14,14,2,1,yes,0,0,37,male
73,210,36000,36,White,16,16,16,8,4,no,2,2,37,male
69,175,29000,29,Hispanic,14,14,14,7,6,no,4,4,29,male
68,133,8000,8,White,13,13,13,8,4,no,2,2,19,female
71,125,3000,3,Black,11,11,11,8,1,no,4,4,18,male
63,160,0,0,White,12,12,12,5,2,no,0,0,64,female
66,205,20000,20,White,16,16,16,8,1,no,0,0,41,female
66,158,0,0,White,12,NA,NA,8,1,yes,3,3,36,female
66,173,33000,33,White,12,12,12,7,4,no,1,1,57,male
68,210,15000,15,Hispanic,12,12,NA,8,1,no,0,0,68,female
70,235,16000,16,White,12,12,12,1,1,no,1,1,33,male
62,148,5000,5,White,12,12,12,6,7,no,2,2,78,female
66,142,8000,8,White,14,14,14,5,4,no,3,3,43,female
63,122,32000,32,Black,16,16,16,4,1,no,3,3,34,female
75,175,14500,14.5,White,12,12,12,1,3,yes,0,0,24,male
67,125,13000,13,White,12,12,12,2,2,no,6,6,29,female
68,115,5000,5,White,16,16,16,4,5,no,0,0,27,male
60,NA,5000,5,Black,12,12,12,2,1,no,0,0,34,female
62,125,0,0,White,10,NA,NA,8,7,no,2,2,20,female
70,200,5000,5,White,11,NA,11,4,1,no,1,1,57,female
63,160,7000,7,White,9,9,9,7,4,no,1,1,25,female
65,126,50000,50,Black,18,18,18,7,1,no,0,0,65,female
69,185,12000,12,Black,12,12,12,8,2,yes,3,3,35,female
71,209,19000,19,White,14,14,14,8,6,no,0,0,61,male
62,110,9000,9,White,12,12,12,8,7,yes,0,0,55,female
64,110,25000,25,White,12,12,12,2,2,yes,4,4,38,female
65,130,20000,20,Black,12,NA,NA,8,1,yes,2,2,35,female
72,170,55000,55,Hispanic,18,18,18,1,1,no,0,0,35,male
62,145,15000,15,Black,12,NA,NA,2,1,no,0,0,71,female
75,190,45000,45,White,18,18,18,6,7,yes,4,4,31,male
65,120,10000,10,White,12,12,12,8,7,yes,0,0,40,female
65,142,15000,15,White,12,12,12,8,1,no,0,0,67,female
63,113,13000,13,White,12,12,12,2,2,yes,0,0,19,female
66,120,45000,45,White,18,18,18,7,7,no,0,0,30,female
64,110,20000,20,White,13,13,13,1,1,yes,7,7,31,female
68,116,45000,45,White,16,16,16,6,2,no,6,6,29,female
72,185,30000,30,White,12,12,12,8,6,no,0,0,26,male
64,110,12000,12,White,12,12,12,8,1,no,1,1,34,female
70,125,26000,26,White,13,NA,13,7,2,no,2,2,33,female
65,115,12500,12.5,White,12,12,12,3,6,yes,1,1,27,female
64,130,8000,8,White,12,12,12,2,1,yes,1,1,29,female
64,120,15000,15,Hispanic,16,16,16,2,6,no,7,7,32,female
67,207,65000,65,White,14,14,14,2,7,yes,1,1,25,male
73,175,25000,25,White,10,NA,10,8,6,yes,6,6,21,male
73,185,8000,8,Hispanic,14,14,14,4,6,no,1,1,21,male
65,110,15000,15,Other,14,14,14,7,4,no,1,1,21,male
64,160,12000,12,White,16,16,16,4,1,yes,1,1,40,female
72,195,35000,35,White,12,12,12,8,1,no,2,2,42,male
67,140,35000,35,Black,13,13,13,5,6,no,2,2,37,female
67,162,40000,40,White,16,16,16,7,6,no,0,0,31,male
66,140,15000,15,Hispanic,14,14,14,7,2,no,1,1,24,female
74,145,29000,29,White,12,12,12,8,4,no,0,0,22,male
60,114,5000,5,White,10,10,10,8,1,yes,0,0,74,female
64,96,15000,15,White,12,12,12,5,4,yes,7,7,33,female
63,175,15000,15,White,13,13,13,4,2,no,1,1,31,female
74,250,20000,20,White,12,NA,NA,4,2,no,1,1,36,male
74,205,3000,3,Black,6,NA,NA,8,5,no,0,0,62,male
63,120,1000,1,Black,16,16,16,8,2,no,5,5,19,female
62,140,8000,8,Black,11,11,11,3,2,yes,7,7,23,female
62,103,5000,5,White,12,12,NA,4,6,yes,1,1,18,female
67,160,25000,25,White,16,16,16,8,5,no,2,2,27,female
75,219,5000,5,White,13,13,13,7,5,yes,0,0,22,male
69,163,20000,20,White,12,12,12,7,4,no,0,0,57,male
65,133,15000,15,White,12,12,12,2,1,yes,0,0,26,female
73,150,30000,30,White,12,12,12,2,2,no,0,0,34,male
63,200,12000,12,White,12,NA,12,1,1,yes,0,0,35,female
59,NA,5000,5,White,11,NA,NA,1,1,no,3,3,80,female
60,120,0,0,White,12,12,12,7,1,yes,7,7,34,female
65,122,15000,15,White,14,14,14,8,7,no,2,2,38,female
64,145,5000,5,Black,14,14,14,4,1,no,0,0,34,male
64,130,15000,15,Black,10,NA,NA,5,2,no,1,1,59,female
64,135,25000,25,White,18,NA,NA,8,1,no,0,0,78,female
67,210,10000,10,White,14,14,14,7,1,no,1,1,32,female
69,140,16000,16,White,12,12,12,8,1,yes,0,0,19,male
71,185,45000,45,White,12,12,12,2,5,yes,0,0,29,male
72,170,40000,40,White,14,14,14,5,5,no,0,0,54,male
72,200,15000,15,White,12,12,12,8,6,yes,1,1,26,male
63,140,0,0,White,12,12,12,4,1,no,7,7,62,female
66,152,20000,20,White,13,13,13,8,5,yes,0,0,33,female
70,125,25000,25,White,14,NA,NA,3,1,no,0,0,81,male
64,145,19000,19,White,14,14,14,7,5,yes,0,0,52,female
64,128,17600,17.6,White,16,16,16,2,2,yes,3,3,30,female
68,155,7000,7,White,12,NA,NA,8,1,no,0,0,67,male
74,207,30000,30,White,12,12,12,5,4,no,2,2,32,male
62,125,18000,18,White,11,11,11,1,1,yes,0,0,47,female
63,135,15000,15,Hispanic,8,8,NA,7,1,yes,0,0,41,female
65,135,25000,25,White,16,16,16,4,2,yes,2,2,47,female
66,155,0,0,White,14,14,14,6,1,no,1,1,55,female
60,120,6000,6,White,5,5,5,8,1,no,7,7,62,female
69,170,70000,70,White,18,18,18,7,6,no,0,0,42,male
61,115,15000,15,Other,16,16,16,5,1,no,0,0,34,female
68,140,15000,15,White,12,12,12,8,1,yes,0,0,61,male
65,135,25000,25,White,17,17,17,8,1,yes,0,0,33,female
66,120,35000,35,White,16,16,16,4,6,no,0,0,28,female
70,155,18000,18,White,16,16,16,5,3,no,0,0,24,male
72,165,28000,28,Black,15,15,15,2,6,no,0,0,30,male
66,160,35000,35,White,12,12,12,8,1,yes,0,0,49,female
67,150,25000,25,Hispanic,12,12,12,8,4,no,1,1,23,male
64,135,15000,15,Hispanic,11,11,11,8,6,no,0,0,21,female
71,172,22000,22,Hispanic,14,14,NA,7,2,yes,0,0,28,male
63,128,0,0,White,12,12,12,8,6,no,0,0,29,female
73,190,35000,35,White,12,NA,NA,3,3,no,0,0,30,male
64,140,18000,18,Black,15,NA,15,1,6,no,0,0,46,female
68,150,35000,35,White,14,14,14,7,5,yes,0,0,37,male
64,115,16400,16.4,Black,12,12,12,4,1,no,5,5,21,female
66,135,22000,22,Black,16,16,16,1,1,yes,1,1,37,male
67,128,30000,30,White,16,NA,NA,4,1,no,0,0,58,female
64,135,17000,17,Hispanic,12,12,12,4,5,no,2,2,27,female
64,147,25000,25,Black,14,14,14,8,6,no,7,7,36,female
62,138,10000,10,White,12,12,12,6,1,yes,3,3,51,female
69,180,40000,40,White,12,12,12,1,3,no,1,1,37,male
63,125,12500,12.5,White,12,12,12,2,1,no,0,0,63,female
63,180,15000,15,White,12,NA,NA,1,1,no,0,0,77,female
63,135,10000,10,White,12,12,NA,7,3,no,7,7,30,female
72,195,35000,35,White,15,NA,NA,1,1,no,3,3,45,male
61,93,0,0,Hispanic,16,16,16,8,6,no,2,2,23,female
75,202,105000,105,White,12,12,12,2,2,yes,1,1,49,male
71,160,25000,25,White,12,12,12,2,1,yes,1,1,27,male
70,170,100000,100,White,18,18,18,8,7,no,1,1,40,male
60,130,25000,25,White,12,NA,NA,1,1,yes,0,0,61,female
69,158,21000,21,White,12,NA,12,1,1,yes,0,0,51,male
